ファイル名：	C:\TAData\菊池_貝良塚\Sn単体_2024_09_26.tad								
									
[ファイル情報]									
ファイル名：	Sn単体_2024_09_26.tad								
試料名：	Sn単体（菊池貝良塚）								
ロット番号：	1								
収集日：	2024/9/26								
収集時間：	14:41:10(+0900)								
機種名：	DTG-60								
機体番号：	C30564500399TK								
雰囲気ガス：	アルゴン								
ガス流量：	50[ml/min]								
セル：	アルミニウム								
試料量：	20.732[mg]								
試料分子量：	0								
									
									
[測定プログラム]									
[データ取込条件]									
サンプリング間隔[ sec ] ：	1								
収集開始条件：	測定開始と同時に開始								
収集終了条件：	測定終了と同時に終了								
									
									
[温度プログラム]									
加熱速度	ホールド温度	ホールド時間							
[ﾟC/min ]	[  ﾟC   ]	[  min  ]							
296	104.73	119.7	20.77						
297	105.07	119.95	20.77						
298	105.44	120.2	20.77						
299	105.75	120.45	20.77						
300	106.12	120.7	20.77						
301	106.44	120.95	20.77						
302	106.8	121.19	20.77						
303	107.18	121.44	20.77						
304	107.52	121.68	20.77						
305	107.9	121.93	20.77						
306	108.21	122.17	20.77						
307	108.57	122.41	20.77						
308	108.9	122.65	20.77						
309	109.26	122.89	20.77						
310	109.64	123.13	20.77						
311	109.98	123.36	20.77						
312	110.35	123.59	20.77						
313	110.65	123.83	20.77						
314	111.01	124.06	20.77						
315	111.35	124.29	20.77						
316	111.69	124.52	20.77						
317	112.08	124.74	20.77						
318	112.42	124.97	20.77						
319	112.79	125.2	20.77						
320	113.1	125.42	20.77						
321	113.46	125.65	20.77						
322	113.8	125.87	20.77						
323	114.15	126.09	20.77						
324	114.53	126.31	20.77						
325	114.88	126.53	20.77						
326	115.24	126.75	20.77						
327	115.56	126.96	20.77						
328	115.92	127.18	20.77						
329	116.27	127.39	20.77						
330	116.61	127.6	20.77						
331	117	127.82	20.78						
332	117.34	128.03	20.78						
333	117.71	128.24	20.78						
334	118.03	128.44	20.78						
335	118.4	128.65	20.78						
336	118.74	128.86	20.78						
337	119.08	129.06	20.78						
338	119.48	129.27	20.78						
339	119.81	129.47	20.78						
340	120.18	129.67	20.78						
341	120.5	129.88	20.78						
342	120.86	130.08	20.78						
343	121.2	130.28	20.78						
344	121.53	130.47	20.78						
345	121.93	130.67	20.78						
346	122.27	130.87	20.78						
347	122.64	131.06	20.78						
348	122.96	131.26	20.78						
349	123.31	131.46	20.78						
350	123.67	131.65	20.78						
351	124	131.85	20.78						
352	124.41	132.04	20.78						
353	124.74	132.24	20.78						
354	125.11	132.43	20.77						
355	125.44	132.63	20.77						
356	125.8	132.83	20.77						
357	126.16	133.03	20.77						
358	126.49	133.22	20.77						
359	126.9	133.42	20.77						
360	127.24	133.62	20.77						
361	127.61	133.81	20.78						
362	127.94	134.01	20.78						
363	128.29	134.21	20.78						
364	128.65	134.4	20.78						
365	128.98	134.59	20.78						
366	129.38	134.78	20.77						
367	129.72	134.96	20.77						
368	130.07	135.14	20.77						
369	130.41	135.33	20.77						
370	130.76	135.5	20.77						
371	131.11	135.68	20.77						
372	131.44	135.85	20.77						
373	131.84	136.03	20.77						
374	132.18	136.2	20.77						
375	132.54	136.37	20.77						
376	132.88	136.54	20.77						
377	133.22	136.71	20.77						
378	133.59	136.88	20.77						
379	133.91	137.05	20.77						
380	134.31	137.22	20.77						
381	134.66	137.39	20.77						
382	135.02	137.56	20.77						
383	135.36	137.73	20.77						
384	135.69	137.89	20.77						
385	136.07	138.05	20.77						
386	136.39	138.21	20.77						
387	136.79	138.37	20.77						
388	137.14	138.53	20.77						
389	137.49	138.69	20.77						
390	137.84	138.84	20.77						
391	138.17	139	20.77						
392	138.55	139.15	20.77						
393	138.88	139.3	20.77						
394	139.27	139.46	20.77						
395	139.62	139.61	20.77						
396	139.97	139.77	20.77						
397	140.32	139.92	20.78						
398	140.65	140.08	20.78						
399	141.02	140.23	20.78						
400	141.34	140.39	20.78						
401	141.73	140.54	20.78						
402	142.09	140.69	20.78						
403	142.44	140.84	20.78						
404	142.79	140.99	20.78						
405	143.12	141.14	20.78						
406	143.49	141.29	20.78						
407	143.81	141.44	20.77						
408	144.21	141.58	20.77						
409	144.57	141.73	20.77						
410	144.92	141.87	20.77						
411	145.27	142.01	20.77						
412	145.61	142.16	20.78						
413	145.97	142.3	20.78						
414	146.3	142.44	20.78						
415	146.69	142.58	20.78						
416	147.06	142.72	20.78						
417	147.4	142.86	20.78						
418	147.77	142.99	20.78						
419	148.1	143.13	20.78						
420	148.46	143.26	20.78						
421	148.8	143.4	20.78						
422	149.19	143.53	20.78						
423	149.56	143.66	20.78						
424	149.9	143.8	20.78						
425	150.26	143.93	20.78						
426	150.59	144.07	20.78						
427	150.95	144.2	20.78						
428	151.28	144.34	20.78						
429	151.67	144.47	20.78						
430	152.04	144.61	20.78						
431	152.38	144.74	20.78						
432	152.74	144.87	20.78						
433	153.06	145	20.78						
434	153.43	145.13	20.78						
435	153.77	145.25	20.78						
436	154.14	145.38	20.78						
437	154.53	145.5	20.78						
438	154.86	145.62	20.78						
439	155.22	145.74	20.78						
440	155.55	145.86	20.78						
441	155.92	145.99	20.78						
442	156.26	146.11	20.78						
443	156.64	146.23	20.78						
444	157.02	146.35	20.79						
445	157.36	146.47	20.79						
446	157.72	146.59	20.79						
447	158.05	146.71	20.79						
448	158.41	146.84	20.79						
449	158.76	146.96	20.79						
450	159.13	147.08	20.79						
451	159.52	147.2	20.79						
452	159.85	147.32	20.79						
453	160.21	147.44	20.79						
454	160.55	147.56	20.79						
455	160.91	147.68	20.79						
456	161.26	147.81	20.79						
457	161.62	147.92	20.79						
458	162.01	148.04	20.79						
459	162.34	148.16	20.79						
460	162.7	148.28	20.79						
461	163.03	148.4	20.79						
462	163.38	148.51	20.79						
463	163.74	148.62	20.79						
464	164.1	148.73	20.79						
465	164.49	148.84	20.79						
466	164.82	148.94	20.79						
467	165.18	149.05	20.79						
468	165.52	149.15	20.79						
469	165.87	149.25	20.79						
470	166.23	149.36	20.79						
471	166.59	149.46	20.79						
472	166.98	149.56	20.79						
473	167.32	149.67	20.79						
474	167.67	149.77	20.79						
475	168.02	149.88	20.79						
476	168.37	149.98	20.79						
477	168.74	150.09	20.79						
478	169.09	150.19	20.79						
